table_name,column_name,data_type
approval,approval_id,integer
approval,plan_id,integer
approval,pm_id,uuid
approval,decision,character varying
approval,revision_notes,text
approval,reviewed_at,timestamp with time zone
approval,req_id,text
approval,sku,text
approval,engineer_name,text
approval,pe_id,uuid
approval,risk_level,text
approval,est_cost,text
approval,labor_time,text
approval,sustainability,numeric
approval,status,text
approval,decided_at,timestamp with time zone
approval,report_snapshot,jsonb
approval,submitted_at,timestamp with time zone
packaging_plan,plan_id,integer
packaging_plan,title,character varying
packaging_plan,prototype_photo_url,character varying
packaging_plan,status,character varying
packaging_plan,pe_id,uuid
packaging_plan,created_at,timestamp with time zone
packaging_plan,submitted_at,timestamp with time zone
packaging_plan,updated_at,timestamp with time zone
packaging_plan,analysis_id,uuid
packaging_plan,zones,jsonb
packaging_plan,total_cost,numeric
packaging_plan,avg_stability,numeric
packaging_plan,avg_sustainability,numeric
packaging_plan,recommended_material,text
packaging_plan,assembly_time_seconds,numeric
packaging_plan,assembly_breakdown,text
packaging_plan,is_complex_pose,boolean
product_analyses,id,uuid
product_analyses,product_name,text
product_analyses,detected_poses,ARRAY
product_analyses,raw_keypoints,jsonb
product_analyses,created_at,timestamp without time zone
product_analyses,user_id,uuid
product_analyses,product_family,text
product_analyses,category,text
product_analyses,articulation,text
product_analyses,pose,text
product_analyses,product_weight_g,numeric
product_analyses,height_cm,numeric
product_analyses,center_of_gravity,text
product_analyses,hair_length,text
product_analyses,dress_length,text
product_analyses,accessory_count,integer
product_analyses,accessory_weight_g,numeric
product_analyses,selected_accessories,ARRAY
product_analyses,pose_complexity_score,numeric
product_analyses,pose_stability_score,numeric
product_analyses,movement_risk_score,numeric
product_analyses,accessory_loss_risk,numeric
product_analyses,body_regions,ARRAY
product_analyses,computed_height,text
product_analyses,computed_complexity,text
product_analyses,computed_cog,text
product_analyses,attachment_zones,jsonb
product_analyses,cv_detections,jsonb
product_analyses,pose_status,jsonb
product_analyses,image_storage_path,text
product_analyses,annotated_image_storage_path,text
product_analyses,analysed_at,timestamp with time zone